technical_rank,speaker,technical_score,snr_proxy_db,noise_floor_proxy_dbfs,rms_dbfs,peak_dbfs,crest_db,clipped_pct,silence_pct,internal_silence_gt_700ms,duration_s,technical_band,editorial_status,sample_url
72,85,97.6,28.32,-48.95,-18.47,0.0,18.47,0.0018,13.72,0,55.71,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_85.mp3
73,48,97.5,28.2,-43.41,-15.52,0.0,15.52,0.0013,7.39,0,79.06,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_48.mp3
74,33,97.1,27.95,-45.2,-15.98,0.0,15.98,0.0028,10.09,0,55.7,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_33.mp3
75,31,96.7,27.65,-46.66,-16.66,0.0,16.66,0.0019,10.7,0,64.47,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_31.mp3
76,56,96.0,64.99,-84.08,-15.75,0.0,15.75,0.0034,19.51,1,67.36,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_56.mp3
77,84,96.0,52.9,-75.9,-18.08,0.0,18.08,0.0016,26.3,1,80.24,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_84.mp3
78,61,96.0,47.71,-64.87,-15.29,0.0,15.29,0.0025,21.14,1,76.38,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_61.mp3
79,90,96.0,47.28,-65.04,-16.07,0.0,16.07,0.0018,21.13,1,69.48,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_90.mp3
80,103,96.0,46.18,-67.75,-17.92,0.0,17.93,0.001,22.6,1,76.29,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_103.mp3
81,110,96.0,45.94,-64.37,-15.48,0.0,15.48,0.0028,23.22,1,86.05,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_110.mp3
82,71,96.0,44.05,-62.33,-16.47,0.0,16.47,0.0011,20.56,1,85.82,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_71.mp3
83,124,96.0,43.08,-64.33,-16.58,0.0,16.58,0.0022,20.3,1,74.41,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_124.mp3
84,18,96.0,42.8,-59.77,-15.66,0.0,15.66,0.0011,18.45,1,69.6,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_18.mp3
85,104,96.0,42.16,-60.69,-15.75,0.0,15.75,0.0017,19.78,1,66.85,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_104.mp3
86,43,96.0,41.79,-61.92,-16.97,0.0,16.97,0.0019,20.64,1,78.69,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_43.mp3
87,120,96.0,41.17,-59.93,-15.84,0.0,15.84,0.0021,18.69,1,72.88,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_120.mp3
88,83,96.0,39.19,-58.36,-16.68,0.0,16.68,0.0017,22.54,1,75.96,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_83.mp3
89,101,96.0,39.04,-56.39,-15.19,0.0,15.19,0.0018,18.85,1,75.96,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_101.mp3
90,65,96.0,38.92,-55.41,-15.92,0.0,15.92,0.0016,14.63,1,91.89,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_65.mp3
91,20,96.0,38.37,-57.58,-16.87,0.0,16.87,0.0018,16.22,1,63.89,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_20.mp3
92,94,96.0,37.85,-57.73,-16.46,0.0,16.46,0.0015,19.05,1,82.85,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_94.mp3
93,107,96.0,37.02,-54.93,-15.88,0.0,15.88,0.0016,19.34,1,87.8,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_107.mp3
94,111,96.0,35.86,-53.56,-15.66,0.0,15.66,0.0026,17.47,1,78.31,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_111.mp3
95,60,96.0,35.58,-49.28,-13.11,0.0,13.11,0.0033,17.21,1,63.33,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_60.mp3
96,102,96.0,35.5,-55.28,-16.9,0.0,16.9,0.001,19.99,1,78.93,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_102.mp3
97,9,96.0,35.24,-56.59,-17.74,0.0,17.74,0.0021,23.67,1,68.21,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_9.mp3
98,119,96.0,35.09,-54.76,-16.87,0.0,16.87,0.0022,18.58,1,71.39,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_119.mp3
99,115,96.0,34.03,-51.76,-15.38,0.0,15.38,0.0012,16.8,1,75.1,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_115.mp3
100,112,96.0,32.61,-49.57,-15.59,0.0,15.59,0.0024,14.5,1,74.79,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_112.mp3
101,69,96.0,31.01,-48.44,-16.43,0.0,16.43,0.0016,13.36,1,64.36,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_69.mp3
102,1,95.9,41.95,-58.01,-14.67,0.0,14.67,0.0048,18.7,1,70.26,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_1.mp3
103,54,95.9,39.43,-55.72,-14.62,0.0,14.63,0.0047,19.63,1,57.07,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_54.mp3
104,47,95.9,27.06,-43.82,-15.69,0.0,15.69,0.0012,9.0,0,76.92,C,UNREVIEWED,https://raw.githubusercontent.com/supercdn2/fluxcore-video-assets/main/voice-casting/journalia-torture/speaker_47.mp3
